filename,brand,gender,description,collection_guess,sku_guess,confidence,notes
IMG_7509.webp,Michael Kors,Mens,Steel chronograph with blue rotating dive bezel and blue textured dial; three subdials; date at 6; steel bracelet,Cruiser / Layton diver chrono,MK 8354,high,MK diver-style chrono
IMG_7515.webp,Michael Kors,Womens,Gold-tone chronograph with double crystal-pave bezel; champagne dial; gold + navy blue acetate link bracelet,Parker,MK 6238,high,Parker navy acetate variant
IMG_7524.webp,Michael Kors,Womens,Gold-tone case with double crystal bezel; pink mother-of-pearl dial with gold Roman numerals; gold + blush acetate bracelet,Taryn / Camille,MK 6564,high,
IMG_7525.webp,Michael Kors,Womens,Gold-tone chronograph with double crystal bezel; champagne dial; gold + tortoise acetate bracelet,Parker,MK 5688,high,Classic Parker tortoise
IMG_7526.webp,Michael Kors,Womens,Rose gold-tone with double crystal bezel; plain rose sunray dial with stick markers; rose gold bracelet,Darci,MK 3431,high,
IMG_7527.webp,Michael Kors,Womens,Rose gold-tone chronograph; rose dial with Roman numerals; smooth bezel; rose gold bracelet,Bradshaw,MK 5799,high,
IMG_7528.webp,Michael Kors,Womens,Two-tone steel/rose gold; double crystal bezel; rose dial with scattered star and crystal accents; two-tone bracelet,Darci Celestial,MK 3726,high,
IMG_7530.webp,Michael Kors,Womens,All gold-tone chronograph; double crystal bezel; champagne dial with crystal markers; gold bracelet,Parker,MK 6438,high,Same model as 7515/7525 in full gold
IMG_7531.webp,Michael Kors,Womens,Large gold-tone case; oversized pave MK logo dial; no numerals; gold bracelet,Runway,MK 5706,high,
IMG_7532.webp,Michael Kors,Womens,Gold-tone with single crystal bezel; champagne dial with large pave MK logo; gold bracelet,Bradshaw / Slim Runway logo,MK 6555,high,
IMG_7533.webp,Michael Kors,Womens,Gold-tone with double crystal bezel; magenta/fuchsia dial with stick markers; gold bracelet,Darci,MK 3444,high,
IMG_7534.webp,Michael Kors,Womens,Steel with double crystal bezel; silver sunray dial with stick markers; steel bracelet,Darci,MK 3190,high,Silver version of 7526
IMG_7535.webp,Michael Kors,Womens,Rose gold-tone chronograph; crystal bezel; rose dial with crystal markers; rose gold bracelet,Ritz,MK 6438,high,
IMG_7536.webp,Michael Kors,Womens,Black IP case and bracelet; black dial with rose gold studded MK logo and crystal accents,Runway Mercer / Portia,MK 6683,high,
IMG_7537.webp,Michael Kors,Womens,Two-tone steel/gold chronograph; double crystal gold bezel; white dial with crystal markers; two-tone bracelet,Parker,MK 5626,high,
IMG_7574.webp,Casio,Mens,Steel case with numbered inner bezel; black dial with 24-hour track; date at 3; black croc leather strap,Enticer,MTP-V004L-1B,medium,
IMG_7575.webp,Casio,Mens,Steel dress watch; white dial with day window at 12 and date at 6; black croc leather strap; WR 50M,Enticer day-date,MTP-1370L-7A,medium,
IMG_7576.webp,Casio,Mens,Steel case and bracelet; blue textured dial with day+date at 3; WR 50M,Enticer,MTP-1335D-2A2,medium,
IMG_7577.webp,Casio,Mens,Slim gold-tone case; deep blue dial with gold Arabic numerals; navy leather strap,Minimalist VT01,MTP-VT01GL-2B2,high,
IMG_7578.webp,Casio,Mens,Steel case with fluted bezel accents; black dial with date at 3; black croc leather strap with white stitch,Enticer,MTP-1308L-1A,medium,
IMG_7579.webp,Casio,Mens,Steel multifunction; black dial with three subdials and day wheel; black bezel with gold minute track; black leather strap,Enticer multi-hand,MTP-1374L-1A,high,
IMG_7580.webp,Casio,Mens,Black resin Fishing Gear ana-digi; moon phase and fish indicator; WR 100M,Fishing Gear,WSC-1250H-1AV,high,
IMG_7581.webp,Casio,Mens,Navy blue resin Fishing Gear ana-digi; moon phase and fish indicator; WR 100M,Fishing Gear,WSC-1250H-2AV,high,
IMG_7582.webp,Casio,Mens,Black IP steel case and bracelet; green checkered-texture dial with gold markers; date at 3,Enticer,MTP-C309L-3AVDF,high,Green dial black IP - no clear match in your list
IMG_7583.webp,Casio,Mens,Black IP case with gold-marked bezel; burgundy/maroon dial; date at 3; black leather strap,Enticer VD01,MTP-VD01BL-5B,medium,
IMG_7585.webp,Casio,Mens,All gold-tone case and bracelet; champagne dial with full Arabic numerals; date at 3,Enticer,MTP-V004G-9E,high,
IMG_7586.webp,Casio,Mens,All gold-tone case and bracelet; champagne dial with luminous round and baton markers; date at 3,Enticer VD01,MTP-VD01G-9E,high,
IMG_7587.webp,Casio,Mens,Steel-bezel ana-digi with black dial; 10 Year Battery; black resin strap; WR 50M,Ana-digi combination,AMW-870-1A?,low,List says AMW710D (steel bracelet) but this has a resin strap
IMG_7588.webp,Casio,Mens,Steel case and bracelet; white dial with three subdials and day wheel; large Arabic numerals,Enticer multifunction,MTP-X300D-7AV,high,
IMG_7589.webp,Casio,Mens,Steel case and bracelet; blue dial with three subdials; dive-style numbered bezel,Enticer VD300,MTP-VD300D-2E,high,
IMG_7590.webp,Casio,Mens,Steel case; white vertical-brushed dial with date at 3; brown leather strap with white stitch,Enticer,MTP-1314L-7AV,high,
IMG_7602.webp,Casio Edifice,Mens,Steel chronograph; black carbon-fibre dial with tachymeter-style subdial and red accents; WR 100M; steel bracelet,Edifice,EFV-530D-1AV,high,Angle 1 of 7
IMG_7603.webp,Casio Edifice,Mens,Same watch as IMG_7602 - alternate angle,Edifice,EFV-530D-1AV,high,Angle 2 of 7
IMG_7604.webp,Casio Edifice,Mens,Same watch as IMG_7602 - alternate angle,Edifice,EFV-530D-1AV,high,Angle 3 of 7
IMG_7605.webp,Casio Edifice,Mens,Same watch as IMG_7602 - alternate angle,Edifice,EFV-530D-1AV,high,Angle 4 of 7
IMG_7606.webp,Casio Edifice,Mens,Same watch as IMG_7602 - alternate angle,Edifice,EFV-530D-1AV,high,Angle 5 of 7
IMG_7607.webp,Casio Edifice,Mens,Same watch as IMG_7602 - alternate angle,Edifice,EFV-530D-1AV,high,Angle 6 of 7
IMG_7608.webp,Casio Edifice,Mens,Same watch as IMG_7602 - alternate angle,Edifice,EFV-530D-1AV,high,Angle 7 of 7
